10.185.233.94;10.185.233.94;P55038SPKO1PATV;p55038spko1patv.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.93;10.185.233.93;P55038SPKO1FEDY;p55038spko1fedy.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.91;10.185.233.91;P55038SPKO1TSVY;p55038spko1tsvy.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.90;10.185.233.90;P55038SPKO1STRN;p55038spko1strn.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.89;10.185.233.89;P55038SPKO1TROA;p55038spko1troa.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.87;10.185.233.87;P55038SPKO1LAA1;p55038spko1laa1.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.86;10.185.233.86;SZB-WOD-0000088;szb-wod-0000088.hq.szb.sbrf.ru;"Microsoft Windows XP SP2 or SP3, or Windows Server 2003";
10.185.233.85;10.185.233.85;P55038SPKO1MANA;p55038spko1mana.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.84;10.185.233.84;P55038SPKO1PEYP;p55038spko1peyp.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.83;10.185.233.83;P55038SPKO1RUN1;p55038spko1run1.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.80;10.185.233.80;P55038SPKO1OSLO;p55038spko1oslo.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.77;10.185.233.77;P55038SPKO1STAN;p55038spko1stan.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.76;10.185.233.76;P55038SPKO1SOKA;p55038spko1soka.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.74;10.185.233.74;P55038SPKO1FENA;p55038spko1fena.hq.szb.sbrf.ru;Microsoft Windows 7 Ultimate;
10.185.233.73;10.185.233.73;P55029SPOFFPEYE;p55029spoffpeye.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.72;10.185.233.72;P55038SPKO1DMOA;p55038spko1dmoa.hq.szb.sbrf.ru;Microsoft Windows Vista SP2;
10.185.233.71;10.185.233.71;P55038SPKO1STEL;p55038spko1stel.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.70;10.185.233.70;P55038SPKO1NORM;p55038spko1norm.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.69;10.185.233.69;P55038SPKO1MIRE;p55038spko1mire.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.68;10.185.233.68;P55038SPKO1SHSR;p55038spko1shsr.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.67;10.185.233.67;P55308SPKO1SCSV;p55308spko1scsv.hq.szb.sbrf.ru;Microsoft Windows Vista SP2;
10.185.233.66;10.185.233.66;SZB-WOD-0000043;szb-wod-0000043.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.65;10.185.233.65;SZB-WOD-0000042;szb-wod-0000042.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.64;10.185.233.64;P55038SPKO1KOOO;p55038spko1kooo.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
